Country,Name,Ticker,Quartr Id,GICS Industries,ISIN,Segment Data
AT,Mayr-Melnhof Karton AG,MMK,15661,,AT0000938204,false
AT,Oesterreichische Post AG,POST,15475,,AT0000APOST4,false
AT,OMV Aktiengesellschaft,OMV,15069,,AT0000743059 | US6708755094,false
AT,Palfinger AG,PAL,18201,,AT0000758305,false
AT,Raiffeisen Bank International AG,RBI,15820,,AT0000606306 | US7507321096,false
AT,Rosenbauer International AG,ROS,16870,,AT0000922554,false
AT,Schoeller-Bleckmann Oilfield Equipment Aktiengesellschaft,SBO,20136,,AT0000946652,false
AT,Semperit AG Holding,SEM,16764,,AT0000785555,false
AT,Steyr Motors AG,4X0,20264,,AT0000A3FW25,false
AT,Strabag SE,STR,16598,,AT000000STR1 | AT0000A36HH9 | AT0000A36HJ5,false
AT,Telekom Austria AG,TKA,16414,,AT0000720008,false
AT,UBM Development AG,UBS,19082,,AT0000815402,false
AT,UNIQA Insurance Group AG,UQA,19917,,AT0000821103,false
AT,VERBUND AG,VER,15326,,AT0000746409 | US92336Y1073,false
AT,Vienna Insurance Group AG,VIG,16498,,US9266271009 | AT0000908504,false
AT,Voestalpine AG,VOE,15346,,US9285781038 | AT0000937503,false
AT,Voquz Labs AG,VQLA,16884,,DE000A3CSTW4,false
AT,Wienerberger AG,WIE,14894,,AT0000831706 | US9676621074,false
AT,Zumtobel Group AG,ZAG,15218,,AT0000837307,false
AU,29Metals Limited,29M,14584,,AU0000157067,false
AU,360 Capital Group,TGP,18388,,AU000000TGP8,false
AU,3P Learning Limited,3PL,18195,,AU0000003PL9,false
AU,4DMedical Limited,4DX,18226,,AU0000095416,false
AU,4DS Memory Limited,4DS,18382,,AU0000004DS8,false
AU,Abacus Group,ABG,16242,,AU0000291882,false
AU,Abacus Storage King,ASK,16211,,AU0000286213,false
AU,Accent Group Ltd,AX1,4269,,AU000000AX19,true
AU,Acrow Limited,ACF,18134,,AU0000006124,false
AU,Actinogen Medical Limited,ACW,18222,,AU000000ACW3,false
AU,ActivEX Limited,AIV,19520,,AU000000AIV2,false
AU,Adairs Ltd,ADH,4930,,AU000000ADH2,true
AU,AdAlta Limited,1AD,19806,,AU0000001AD2,false
AU,Adbri Limited,ABC,14586,,AU000000ABC7,false
AU,Adore Beauty Group Limited,ABY,3855,,AU0000109506,false
AU,Adriatic Metals PLC,ADT,14587,,GB00BL0L5G04 | AU0000004772,false
AU,Advance ZincTek Limited,ANO,19657,,AU000000ANO7,false
AU,Aeris Resources Limited,AIS,14588,,AU000000AIS8,false
AU,Aerometrex Limited,AMX,5870,,AU0000064560,false
AU,Afterpay Limited,APT,5369,,,false
AU,AGL Energy Limited,AGL,3809,,AU000000AGL7 | US0012012011,true
AU,Agrimin Limited,AMN,19598,,AU000000AMN1,false
